asset_id,name,priority,scope,source_path,size_px,background,existing_art,status,brief,creator_or_source,usage_rights,notes
army-militia-blades,Militia blades,P1,Current content,asset-inbox/army/militia-blades.png,1024x1024,Transparent,,Not started,Single soldier kit; weathered practical equipment; same angle and lighting across this group.,,,
army-sentinel-spears,Sentinel spears,P1,Current content,asset-inbox/army/sentinel-spears.png,1024x1024,Transparent,,Not started,Single soldier kit; weathered practical equipment; same angle and lighting across this group.,,,
army-ranger-longbows,Ranger longbows,P1,Current content,asset-inbox/army/ranger-longbows.png,1024x1024,Transparent,,Not started,Single soldier kit; weathered practical equipment; same angle and lighting across this group.,,,
army-royal-halberds,Royal halberds,P1,Current content,asset-inbox/army/royal-halberds.png,1024x1024,Transparent,,Not started,Single soldier kit; weathered practical equipment; same angle and lighting across this group.,,,
army-padded-armor,Padded armor,P1,Current content,asset-inbox/army/padded-armor.png,1024x1024,Transparent,,Not started,Single soldier kit; weathered practical equipment; same angle and lighting across this group.,,,
character-current-weapons-travelers-blade,Traveler’s Blade,P1,Current content,asset-inbox/character/current/weapons/travelers-blade.png,1024x1024,Transparent,,Not started,Recognizable inventory silhouette; no rarity frame or text.,,,
character-current-weapons-iron-longsword,Iron Longsword,P1,Current content,asset-inbox/character/current/weapons/iron-longsword.png,1024x1024,Transparent,,Not started,Recognizable inventory silhouette; no rarity frame or text.,,,
character-current-weapons-wardens-edge,Warden’s Edge,P1,Current content,asset-inbox/character/current/weapons/wardens-edge.png,1024x1024,Transparent,,Not started,Recognizable inventory silhouette; no rarity frame or text.,,,
character-current-weapons-moonsteel-saber,Moonsteel Saber,P1,Current content,asset-inbox/character/current/weapons/moonsteel-saber.png,1024x1024,Transparent,,Not started,Recognizable inventory silhouette; no rarity frame or text.,,,
character-current-weapons-oathkeeper,Oathkeeper,P1,Current content,asset-inbox/character/current/weapons/oathkeeper.png,1024x1024,Transparent,,Not started,Recognizable inventory silhouette; no rarity frame or text.,,,
character-current-weapons-dawnbringer,Dawnbringer,P1,Current content,asset-inbox/character/current/weapons/dawnbringer.png,1024x1024,Transparent,,Not started,Recognizable inventory silhouette; no rarity frame or text.,,,
character-current-armor-weathered-leathers,Weathered Leathers,P1,Current content,asset-inbox/character/current/armor/weathered-leathers.png,1024x1024,Transparent,,Not started,Recognizable inventory silhouette; no rarity frame or text.,,,
character-current-armor-scouts-jerkin,Scout’s Jerkin,P1,Current content,asset-inbox/character/current/armor/scouts-jerkin.png,1024x1024,Transparent,,Not started,Recognizable inventory silhouette; no rarity frame or text.,,,
character-current-armor-briarhide-coat,Briarhide Coat,P1,Current content,asset-inbox/character/current/armor/briarhide-coat.png,1024x1024,Transparent,,Not started,Recognizable inventory silhouette; no rarity frame or text.,,,
character-current-armor-sentinels-plate,Sentinel’s Plate,P1,Current content,asset-inbox/character/current/armor/sentinels-plate.png,1024x1024,Transparent,,Not started,Recognizable inventory silhouette; no rarity frame or text.,,,
character-current-armor-mantle-of-the-fallen,Mantle of the Fallen,P1,Current content,asset-inbox/character/current/armor/mantle-of-the-fallen.png,1024x1024,Transparent,,Not started,Recognizable inventory silhouette; no rarity frame or text.,,,
character-current-armor-aegis-of-the-first-king,Aegis of the First King,P1,Current content,asset-inbox/character/current/armor/aegis-of-the-first-king.png,1024x1024,Transparent,,Not started,Recognizable inventory silhouette; no rarity frame or text.,,,
chests-wayfarer-chest-closed,Wayfarer chest closed,P1,Current content,asset-inbox/chests/wayfarer-chest-closed.png,1024x1024,Transparent,,Not started,"Closed chest, identical camera and construction to its paired state; worn wood and iron.",,,
chests-wayfarer-chest-open,Wayfarer chest open,P1,Current content,asset-inbox/chests/wayfarer-chest-open.png,1024x1024,Transparent,,Not started,"Open chest, identical camera and construction to its paired state; worn wood and iron.",,,
chests-warlord-chest-closed,Warlord chest closed,P1,Current content,asset-inbox/chests/warlord-chest-closed.png,1024x1024,Transparent,,Not started,"Closed chest, identical camera and construction to its paired state; reinforced military steel.",,,
